source target weight_t0 weight_t1 weight_t2 weight_t3 weight_t4
AJ_Auxerre LOSC_Lille 0 2 0 0 1
AJ_Auxerre Borussia_Mönchengladbach 1 0 0 0 0
AJ_Auxerre AS_Monaco 1 0 0 0 0
AJ_Auxerre FC_Lorient 1 1 0 0 0
AJ_Auxerre Vitesse 0 0 0 0 1
AJ_Auxerre Genoa 0 1 0 0 0
AJ_Auxerre AC_Ajaccio 0 1 0 0 0
AJ_Auxerre West_Brom 1 0 0 0 0
AJ_Auxerre Wolfsburg 1 0 0 0 0
AJ_Auxerre AS_Saint-Étienne 0 1 0 0 0
AJ_Auxerre FC_Toulouse 0 1 0 0 0
AS_Bari AS_Roma 1 0 0 0 0
AS_Bari Juventus 2 0 0 0 0
AS_Bari Genoa 1 0 0 0 0
AS_Livorno Inter_Milan 0 1 0 0 0
AS_Livorno US_Palermo 1 0 0 0 0
AS_Livorno West_Ham 1 0 0 0 0
AS_Monaco Stuttgart 0 0 0 0 1
AS_Monaco Manchester_City 0 0 1 2 0
AS_Monaco E._Frankfurt 0 0 0 1 0
AS_Monaco Huddersfield_Town 0 0 0 2 0
AS_Monaco Benfica 0 0 0 0 1
AS_Monaco Atalanta 0 0 1 0 0
AS_Monaco Vitória_Guimarães_SC 0 1 0 0 1
AS_Monaco AS_Nancy 1 0 0 0 0
AS_Monaco AS_Saint-Étienne 2 0 0 0 0
AS_Monaco Sevilla_FC 0 0 0 1 0
AS_Monaco AS_Roma 1 0 0 0 0
AS_Monaco Valencia 0 0 1 0 0
AS_Monaco FC_Ingolstadt 0 0 1 0 0
AS_Monaco Leicester 0 0 0 2 0
AS_Monaco Southampton 0 0 0 1 0
AS_Monaco Liverpool 0 0 0 1 0
AS_Monaco SC_Lyon 1 0 0 0 0
AS_Monaco Torino_FC 0 0 0 1 1
AS_Monaco FC_Eindhoven 0 0 1 0 0
AS_Monaco Dijon_FCO 0 0 1 0 0
AS_Monaco Atlético_Madrid 0 0 1 1 0
AS_Monaco Bologna 1 0 0 0 0
AS_Monaco RB_Leipzig 0 0 0 0 1
AS_Monaco Hertha_BSC 0 0 0 0 1
AS_Monaco PSG 1 0 1 1 0
AS_Monaco FC_Toulouse 0 0 1 1 0
AS_Monaco R._Strasbourg 0 0 0 0 1
AS_Monaco FC_Metz 0 0 0 0 1
AS_Monaco OGC_Nice 0 1 0 2 1
AS_Monaco Inter_Milan 0 0 1 0 0
AS_Monaco FC_Girondins_Bordeaux 0 0 1 0 0
AS_Monaco Blackpool 1 0 0 0 0
AS_Monaco Montpellier 0 0 0 0 1
AS_Monaco Newcastle 0 0 1 0 0
AS_Monaco Real_Madrid 0 0 1 0 1
AS_Monaco FSV_Mainz 0 0 0 2 0
AS_Monaco Lokomotiv_Moscow 0 0 1 0 1
AS_Monaco Marseille 0 0 1 1 0
AS_Monaco Association_Troyes_Aube_Champagne 0 0 0 0 1
AS_Monaco Stoke_City 1 0 0 0 0
AS_Monaco LOSC_Lille 0 0 2 0 0
AS_Monaco Wolves_FC 0 0 1 2 0
AS_Monaco FC_Utrecht 0 0 1 0 1
AS_Monaco FC_Lorient 0 0 0 0 1
AS_Monaco Cagliari_Calcio 0 0 0 0 1
AS_Monaco Milan 1 0 0 0 1
AS_Monaco Chelsea 0 0 0 1 1
AS_Monaco AJ_Auxerre 2 0 0 0 0
AS_Nancy Marseille 0 1 0 0 0
AS_Nancy AS_Monaco 1 0 0 0 0
AS_Nancy Newcastle 0 1 0 0 0
AS_Nancy Milan 0 1 0 0 0
AS_Nancy QPR 0 1 0 0 0
AS_Nancy FC_Girondins_Bordeaux 0 1 0 0 0
AS_Nancy St._Petersburg 1 0 0 0 0
AS_Nancy Rennes 0 2 0 0 0
AS_Nancy AS_Saint-Étienne 1 1 0 0 0
AS_Roma AC_Fiorentina 1 1 0 0 0
AS_Roma Atalanta 0 0 2 1 0
AS_Roma Spartak_Moscow 0 0 0 1 0
AS_Roma Fulham 0 2 0 0 0
AS_Roma Barcelona 0 1 0 0 0
AS_Roma Chelsea 0 0 0 2 0
AS_Roma SS_Lazio 0 0 0 0 1
AS_Roma AS_Monaco 0 0 1 0 0
AS_Roma Tottenham 0 1 0 0 0
AS_Roma Juventus 0 1 1 1 0
AS_Roma Southampton 0 1 0 0 0
AS_Roma Chievo_Verona 1 1 0 0 0
AS_Roma AS_Bari 1 0 0 0 0
AS_Roma St._Petersburg 0 0 0 1 0
AS_Roma Granada_CF 0 0 0 0 1
AS_Roma FC_Porto 0 0 1 1 0
AS_Roma Liverpool 1 2 0 2 0
AS_Roma Bologna 0 1 2 2 0
AS_Roma CD_Málaga 1 0 0 0 0
AS_Roma Genoa 1 6 1 1 0
AS_Roma Real_Madrid 0 0 0 1 0
AS_Roma Parma 1 2 0 0 0
AS_Roma LOSC_Lille 0 0 1 0 0
AS_Roma US_Sassuolo 0 1 2 3 2
AS_Roma Marseille 0 0 0 1 3
AS_Roma SC_Lyon 0 0 1 0 0
AS_Roma PSG 1 2 0 0 0
AS_Roma Hellas_Verona 0 0 1 0 1
AS_Roma Bayern_Munich 0 0 1 0 0
AS_Roma FSV_Mainz 0 0 1 0 0
AS_Roma AC_Siena 3 0 0 0 0
AS_Roma US_Salernitana 0 0 0 0 1
AS_Roma FC_Paços_de_Ferreira 0 1 0 0 0
AS_Roma Milan 0 1 2 0 1
AS_Roma SC_Braga 1 0 0 0 0
AS_Roma Cagliari_Calcio 1 0 0 0 0
AS_Roma UC_Sampdoria 1 0 0 0 0
AS_Roma Sporting 0 0 0 1 0
AS_Roma Watford_FC 0 0 1 0 0
AS_Roma Torino_FC 0 1 2 0 0
AS_Roma Udinese_Calcio 1 3 2 0 0
AS_Roma Napoli 0 0 0 2 1
AS_Roma Real_Betis 0 0 1 0 0
AS_Roma Bayer_Leverkusen 0 0 1 0 1
AS_Roma Aston_Villa 0 0 0 0 1
AS_Roma Inter_Milan 1 0 1 1 3
AS_Saint-Étienne Chelsea 0 1 0 0 0
AS_Saint-Étienne FC_Porto 1 0 0 1 0
AS_Saint-Étienne Montpellier 1 0 0 0 0
AS_Saint-Étienne PSG 0 1 0 0 0
AS_Saint-Étienne Association_Troyes_Aube_Champagne 0 0 0 0 1
AS_Saint-Étienne SC_Lyon 1 0 0 0 0
AS_Saint-Étienne Napoli 0 1 0 0 0
AS_Saint-Étienne Swansea_City 0 0 1 0 0
AS_Saint-Étienne Blackburn 1 0 0 0 0
AS_Saint-Étienne FC_Grenoble_JI 3 0 0 0 0
AS_Saint-Étienne FC_Union_Berlin 0 0 0 1 0
AS_Saint-Étienne LOSC_Lille 0 1 0 2 0
AS_Saint-Étienne R._Strasbourg 0 0 0 1 0
AS_Saint-Étienne Sporting 0 1 0 0 0
AS_Saint-Étienne Real_Betis 0 1 0 0 0
AS_Saint-Étienne Hannover_96 0 0 1 0 0
AS_Saint-Étienne Arsenal 0 0 0 1 0
AS_Saint-Étienne FC_Toulouse 0 1 0 0 0
AS_Saint-Étienne Stade_Brestois 0 0 0 0 1
AS_Saint-Étienne Wolves_FC 0 1 0 0 0
AS_Saint-Étienne Sevilla_FC 1 0 0 0 0
AS_Saint-Étienne Din._Krasnodar 0 0 0 1 0
AS_Saint-Étienne AC_Cesena 1 0 0 0 0
AS_Saint-Étienne AC_Fiorentina 0 0 0 1 0
AS_Saint-Étienne Atlético_Madrid 0 1 0 0 0
AS_Saint-Étienne CA_Bastia 0 1 1 0 0
AS_Saint-Étienne Vitesse 1 0 0 0 1
AS_Saint-Étienne OGC_Nice 0 0 1 0 0
AS_Saint-Étienne West_Ham 1 0 0 0 0
AS_Saint-Étienne FC_Metz 0 0 2 2 1
AS_Saint-Étienne AS_Monaco 0 0 1 1 0
AS_Saint-Étienne AFC_Bournemouth 0 0 1 0 0
AS_Saint-Étienne Catania 0 1 0 0 0
AS_Saint-Étienne US_Valenciennes 1 1 0 0 0
AS_Saint-Étienne KS_Samara 0 0 1 0 0
AS_Saint-Étienne Leicester 0 0 0 0 1
AS_Saint-Étienne Borussia_Dortmund 0 1 0 0 0
AS_Saint-Étienne Angers_SCO 0 0 0 1 1
AS_Saint-Étienne SM_Caen 0 0 1 0 0
AS_Saint-Étienne Brentford 0 0 0 1 0
AZ_Alkmaar Tottenham 0 0 1 0 0
AZ_Alkmaar AS_Monaco 0 0 0 0 1
AZ_Alkmaar Real_Valladolid_CF 1 0 0 0 0
